path	line_at_phase0	symbol
crates/keycompute-server/src/handlers/admin_user.rs	94	UserRole
crates/keycompute-server/src/handlers/admin_user.rs	117	AssignableUserRole
crates/keycompute-server/src/handlers/admin_user.rs	135	UserRole
crates/keycompute-server/src/handlers/admin_user.rs	151	tenant_id: Option<
crates/keycompute-server/src/handlers/admin_user.rs	168	UserRole
crates/keycompute-server/src/handlers/admin_user.rs	180	UserRole
crates/keycompute-server/src/handlers/admin_user.rs	197	UserRole
crates/keycompute-server/src/handlers/admin_user.rs	203	UserRole
crates/keycompute-server/src/handlers/admin_user.rs	244	is_admin(
crates/keycompute-server/src/handlers/admin_user.rs	378	is_admin(
crates/keycompute-server/src/handlers/admin_user.rs	439	AssignableUserRole
crates/keycompute-server/src/handlers/admin_user.rs	441	tenant_id: Option<
crates/keycompute-server/src/handlers/admin_user.rs	453	is_admin(
crates/keycompute-server/src/handlers/admin_user.rs	660	is_admin(
crates/keycompute-server/src/handlers/admin_user.rs	799	is_admin(
crates/keycompute-server/src/handlers/admin_user.rs	1238	is_admin(
crates/keycompute-server/src/handlers/admin_user.rs	1430	is_admin(
crates/keycompute-server/src/handlers/admin_user.rs	1509	is_admin(
crates/keycompute-server/src/handlers/admin_user.rs	1567	is_admin(
crates/keycompute-server/src/handlers/admin_user.rs	1621	is_admin(
crates/keycompute-server/src/handlers/admin_user.rs	1983	AssignableUserRole
crates/keycompute-server/src/handlers/admin_user.rs	1999	AssignableUserRole
crates/keycompute-server/src/handlers/admin_user.rs	2014	AssignableUserRole
crates/keycompute-server/src/handlers/admin_user.rs	2075	UserRole
crates/keycompute-server/src/handlers/admin_user.rs	2085	UserRole
crates/keycompute-server/src/handlers/billing.rs	272	tenant_id: Option<
crates/keycompute-server/src/handlers/billing.rs	296	is_admin(
crates/keycompute-server/src/handlers/billing.rs	381	SystemAdmin
crates/keycompute-server/src/handlers/distribution.rs	391	is_admin(
crates/keycompute-server/src/handlers/distribution.rs	441	is_admin(
crates/keycompute-server/src/handlers/distribution.rs	499	is_admin(
crates/keycompute-server/src/handlers/distribution.rs	538	is_admin(
crates/keycompute-server/src/handlers/distribution.rs	577	is_admin(
crates/keycompute-server/src/handlers/distribution.rs	635	is_admin(
crates/keycompute-server/src/handlers/distribution.rs	700	is_admin(
crates/keycompute-server/src/handlers/payment.rs	479	SystemAdmin
crates/keycompute-server/src/main.rs	21	UserRole
crates/keycompute-server/src/main.rs	704	UserRole
crates/keycompute-server/src/middleware.rs	1683	SystemAdmin
crates/keycompute-server/src/middleware.rs	1684	SystemAdmin
crates/keycompute-server/src/middleware.rs	1685	SystemAdmin
crates/keycompute-server/src/middleware.rs	1776	SystemAdmin
crates/keycompute-server/src/middleware.rs	1833	SystemAdmin
